Framework,Human_Oversight,Metric,Transparency,Accountability,Privacy_Protection,Security_Robustness,Risk_Management,Enforcement_Strength,Fairness_And_Bias,Data_Quality,Monitoring_Audit
EU AI Act (2024),5.0,Human_Oversight,,,,,,,,,
US EO 14110 (2023),4.0,Human_Oversight,,,,,,,,,
Saudi SDAIA (2023–2025),4.0,Human_Oversight,,,,,,,,,
EU AI Act (2024),,Transparency,5.0,,,,,,,,
US EO 14110 (2023),,Transparency,4.0,,,,,,,,
Saudi SDAIA (2023–2025),,Transparency,4.0,,,,,,,,
EU AI Act (2024),,Accountability,,4.0,,,,,,,
US EO 14110 (2023),,Accountability,,4.0,,,,,,,
Saudi SDAIA (2023–2025),,Accountability,,4.0,,,,,,,
EU AI Act (2024),,Privacy_Protection,,,5.0,,,,,,
US EO 14110 (2023),,Privacy_Protection,,,4.0,,,,,,
Saudi SDAIA (2023–2025),,Privacy_Protection,,,4.0,,,,,,
EU AI Act (2024),,Security_Robustness,,,,5.0,,,,,
US EO 14110 (2023),,Security_Robustness,,,,5.0,,,,,
Saudi SDAIA (2023–2025),,Security_Robustness,,,,4.0,,,,,
EU AI Act (2024),,Risk_Management,,,,,5.0,,,,
US EO 14110 (2023),,Risk_Management,,,,,4.0,,,,
Saudi SDAIA (2023–2025),,Risk_Management,,,,,4.0,,,,
EU AI Act (2024),,Enforcement_Strength,,,,,,5.0,,,
US EO 14110 (2023),,Enforcement_Strength,,,,,,3.0,,,
Saudi SDAIA (2023–2025),,Enforcement_Strength,,,,,,3.0,,,
EU AI Act (2024),,Fairness_And_Bias,,,,,,,4.0,,
US EO 14110 (2023),,Fairness_And_Bias,,,,,,,4.0,,
Saudi SDAIA (2023–2025),,Fairness_And_Bias,,,,,,,4.0,,
EU AI Act (2024),,Data_Quality,,,,,,,,4.0,
US EO 14110 (2023),,Data_Quality,,,,,,,,4.0,
Saudi SDAIA (2023–2025),,Data_Quality,,,,,,,,4.0,
EU AI Act (2024),,Monitoring_Audit,,,,,,,,,5.0
US EO 14110 (2023),,Monitoring_Audit,,,,,,,,,4.0
Saudi SDAIA (2023–2025),,Monitoring_Audit,,,,,,,,,4.0
