Framework,Human_Oversight,Metric,Transparency,Accountability,Privacy_Protection,Security_Robustness,Risk_Management,Enforcement_Strength,Fairness_And_Bias,Data_Quality,Monitoring_Audit
EU AI Act (2024),,Human_Oversight,,,,,,,,,
US EO 14110 (2023),,Human_Oversight,,,,,,,,,
Saudi SDAIA (2023–2025),,Human_Oversight,,,,,,,,,
EU AI Act (2024),,Transparency,,,,,,,,,
US EO 14110 (2023),,Transparency,,,,,,,,,
Saudi SDAIA (2023–2025),,Transparency,,,,,,,,,
EU AI Act (2024),,Accountability,,,,,,,,,
US EO 14110 (2023),,Accountability,,,,,,,,,
Saudi SDAIA (2023–2025),,Accountability,,,,,,,,,
EU AI Act (2024),,Privacy_Protection,,,,,,,,,
US EO 14110 (2023),,Privacy_Protection,,,,,,,,,
Saudi SDAIA (2023–2025),,Privacy_Protection,,,,,,,,,
EU AI Act (2024),,Security_Robustness,,,,,,,,,
US EO 14110 (2023),,Security_Robustness,,,,,,,,,
Saudi SDAIA (2023–2025),,Security_Robustness,,,,,,,,,
EU AI Act (2024),,Risk_Management,,,,,,,,,
US EO 14110 (2023),,Risk_Management,,,,,,,,,
Saudi SDAIA (2023–2025),,Risk_Management,,,,,,,,,
EU AI Act (2024),,Enforcement_Strength,,,,,,,,,
US EO 14110 (2023),,Enforcement_Strength,,,,,,,,,
Saudi SDAIA (2023–2025),,Enforcement_Strength,,,,,,,,,
EU AI Act (2024),,Fairness_And_Bias,,,,,,,,,
US EO 14110 (2023),,Fairness_And_Bias,,,,,,,,,
Saudi SDAIA (2023–2025),,Fairness_And_Bias,,,,,,,,,
EU AI Act (2024),,Data_Quality,,,,,,,,,
US EO 14110 (2023),,Data_Quality,,,,,,,,,
Saudi SDAIA (2023–2025),,Data_Quality,,,,,,,,,
EU AI Act (2024),,Monitoring_Audit,,,,,,,,,
US EO 14110 (2023),,Monitoring_Audit,,,,,,,,,
Saudi SDAIA (2023–2025),,Monitoring_Audit,,,,,,,,,
